date,price
12/5/2022,8.989
13-05-2022,8.989
14-05-2022,9.009
15-05-2022,9.009
16-05-2022,9.009
17-05-2022,9.009
18-05-2022,9.009
19-05-2022,9.009
20-05-2022,9.009
21-05-2022,8.891
22-05-2022,8.891
23-05-2022,9.004
24-05-2022,9.004
25-05-2022,9.004
26-05-2022,9.004
27-05-2022,9.004
28-05-2022,8.894
29-05-2022,8.907
30-05-2022,9.007
31-05-2022,9.045
1/6/2022,9.048
2/6/2022,9.078
3/6/2022,9.078
4/6/2022,9.004
5/6/2022,9.004
6/6/2022,9.15
7/6/2022,9.168
8/6/2022,9.201
9/6/2022,9.232
10/6/2022,9.273
11/6/2022,9.176
12/6/2022,9.176
13-06-2022,9.345
14-06-2022,9.345
15-06-2022,9.376
16-06-2022,9.376
17-06-2022,9.391
18-06-2022,9.299
19-06-2022,9.299
20-06-2022,9.417
21-06-2022,9.417
22-06-2022,9.417
23-06-2022,9.412
24-06-2022,9.412
25-06-2022,9.294
26-06-2022,9.294
27-06-2022,9.412
28-06-2022,9.412
29-06-2022,9.412
30-06-2022,9.412
1/7/2022,8.904
2/7/2022,8.904
3/7/2022,8.904
4/7/2022,8.899
5/7/2022,8.899
6/7/2022,8.899
7/7/2022,8.899
8/7/2022,8.899
9/7/2022,8.899
10/7/2022,8.899
11/7/2022,8.899
12/7/2022,8.899
13-07-2022,8.899
14-07-2022,8.899
15-07-2022,8.899
16-07-2022,8.899
17-07-2022,8.899
18-07-2022,8.899
19-07-2022,8.899
20-07-2022,8.899
21-07-2022,8.745
22-07-2022,8.745
23-07-2022,8.745
24-07-2022,8.745
25-07-2022,8.745
26-07-2022,8.745
27-07-2022,8.694
28-07-2022,8.694
29-07-2022,8.694
30-07-2022,8.694
31-07-2022,8.694
1/8/2022,8.694
2/8/2022,8.643
3/8/2022,8.54
4/8/2022,8.54
5/8/2022,8.54
6/8/2022,8.54
7/8/2022,8.54
8/8/2022,8.438
9/8/2022,8.438
10/8/2022,8.335
11/8/2022,8.335
12/8/2022,8.335
13-08-2022,8.335
14-08-2022,8.335
15-08-2022,8.335
16-08-2022,8.335
17-08-2022,8.335
18-08-2022,8.335
19-08-2022,8.335
20-08-2022,8.335
21-08-2022,8.335
22-08-2022,8.348
23-08-2022,8.369
24-08-2022,8.392
25-08-2022,8.417
26-08-2022,8.438
27-08-2022,8.499
28-08-2022,8.499
29-08-2022,8.499
30-08-2022,8.507
31-08-2022,8.51
1/9/2022,8.54
2/9/2022,8.54
3/9/2022,8.54
4/9/2022,8.54
5/9/2022,8.54
6/9/2022,8.548
7/9/2022,8.581
8/9/2022,8.581
9/9/2022,8.581
10/9/2022,8.581
11/9/2022,8.581
12/9/2022,8.581
13-09-2022,8.592
14-09-2022,8.622
15-09-2022,8.469
16-09-2022,8.469
17-09-2022,8.315
18-09-2022,8.315
19-09-2022,8.315
20-09-2022,8.315
21-09-2022,8.315
22-09-2022,8.212
23-09-2022,8.212
24-09-2022,8.212
25-09-2022,8.212
26-09-2022,8.212
27-09-2022,8.11
28-09-2022,8.11
29-09-2022,8.11
30-09-2022,8.11
1/10/2022,8.11
2/10/2022,8.11
3/10/2022,8.11
4/10/2022,8.11
5/10/2022,8.11
6/10/2022,8.11
7/10/2022,8.13
8/10/2022,8.202
9/10/2022,8.212
10/10/2022,8.223
11/10/2022,8.248
12/10/2022,8.335
13-10-2022,8.335
14-10-2022,8.351
15-10-2022,8.417
16-10-2022,8.417
17-10-2022,8.428
18-10-2022,8.499
19-10-2022,8.52
20-10-2022,8.52
21-10-2022,8.581
22-10-2022,8.602
23-10-2022,8.612
24-10-2022,8.633
25-10-2022,8.633
26-10-2022,8.633
27-10-2022,8.633
28-10-2022,8.633
29-10-2022,8.633
30-10-2022,8.633
31-10-2022,8.633
1/11/2022,8.633
2/11/2022,8.633
3/11/2022,8.633
4/11/2022,8.643
5/11/2022,8.674
6/11/2022,8.674
7/11/2022,8.684
8/11/2022,8.725
9/11/2022,8.756
10/11/2022,8.756
11/11/2022,8.756
12/11/2022,8.725
13-11-2022,8.725
14-11-2022,8.725
15-11-2022,8.725
16-11-2022,8.694
17-11-2022,8.643
18-11-2022,8.643
19-11-2022,8.592
20-11-2022,8.592
21-11-2022,8.551
22-11-2022,8.499
23-11-2022,8.417
24-11-2022,8.417
25-11-2022,8.366
26-11-2022,8.366
27-11-2022,8.366
28-11-2022,8.366
29-11-2022,8.284
30-11-2022,8.13
1/12/2022,8.13
2/12/2022,8.13
3/12/2022,8.13
4/12/2022,8.13
5/12/2022,8.13
6/12/2022,7.977
7/12/2022,7.823
8/12/2022,7.618
9/12/2022,7.618
10/12/2022,7.464
11/12/2022,7.464
12/12/2022,7.464
13-12-2022,7.464
14-12-2022,7.464
15-12-2022,7.464
16-12-2022,7.464
17-12-2022,7.464
18-12-2022,7.464
19-12-2022,7.464
20-12-2022,7.362
21-12-2022,7.362
22-12-2022,7.31
23-12-2022,7.31
24-12-2022,7.31
25-12-2022,7.31
26-12-2022,7.31
27-12-2022,7.31
28-12-2022,7.31
29-12-2022,7.31
30-12-2022,7.31
31-12-2022,7.31
1/1/2023,7.321
2/1/2023,7.7
3/1/2023,7.7
4/1/2023,7.7
5/1/2023,7.7
6/1/2023,7.659
7/1/2023,7.659
8/1/2023,7.659
9/1/2023,7.659
10/1/2023,7.659
11/1/2023,7.659
12/1/2023,7.659
13-01-2023,7.659
14-01-2023,7.659
15-01-2023,7.71
16-01-2023,7.71
17-01-2023,7.71
18-01-2023,7.751
19-01-2023,7.751
20-01-2023,7.772
21-01-2023,7.802
22-01-2023,7.802
23-01-2023,7.802
24-01-2023,7.802
25-01-2023,7.884
26-01-2023,7.884
27-01-2023,7.884
28-01-2023,7.884
29-01-2023,7.884
30-01-2023,7.884
31-01-2023,7.884
1/2/2023,7.854
2/2/2023,7.854
3/2/2023,7.833
4/2/2023,7.782
5/2/2023,7.782
6/2/2023,7.772
7/2/2023,7.679
8/2/2023,7.577
9/2/2023,7.577
10/2/2023,7.577
11/2/2023,7.526
12/2/2023,7.526
13-02-2023,7.526
14-02-2023,7.526
15-02-2023,7.526
16-02-2023,7.526
17-02-2023,7.526
18-02-2023,7.526
19-02-2023,7.526
20-02-2023,7.526
21-02-2023,7.444
22-02-2023,7.444
23-02-2023,7.444
24-02-2023,7.392
25-02-2023,7.392
26-02-2023,7.392
27-02-2023,7.392
28-02-2023,7.392
1/3/2023,7.392
2/3/2023,7.392
